price,brand,yearOfRegistration,odometer,powerPS,notRepairedDamage
5000,peugeot,2004,150000,158.0,no
8500,bmw,1997,150000,286.0,no
8990,volkswagen,2009,70000,102.0,no
4350,smart,2007,70000,71.0,no
1350,ford,2003,150000,,no
7900,chrysler,2006,150000,150.0,unknown
300,volkswagen,1995,150000,90.0,unknown
1990,volkswagen,1998,150000,90.0,no
250,seat,2000,150000,,no
590,renault,1997,150000,90.0,no
350,mercedes_benz,2000,150000,,unknown
5299,smart,2010,50000,71.0,no
1350,audi,1999,150000,101.0,no
3999,renault,2007,150000,75.0,unknown
18900,sonstige_autos,1982,80000,203.0,no
350,opel,1999,150000,101.0,no
5500,volkswagen,1990,150000,205.0,no
300,bmw,1995,150000,150.0,unknown
4150,mazda,2004,150000,124.0,no
3500,audi,2003,150000,131.0,unknown
41500,porsche,2004,150000,320.0,no
25450,mini,2015,10000,184.0,no
7999,peugeot,2010,150000,120.0,no
48500,bmw,2014,30000,306.0,no
90,ford,1996,150000,116.0,yes
777,volkswagen,1992,125000,54.0,no
5250,mini,2007,150000,110.0,yes
4999,mercedes_benz,2004,150000,204.0,no
80,peugeot,2002,150000,60.0,yes
2850,mercedes_benz,2002,150000,218.0,no
350,opel,1999,150000,,unknown
4800,audi,2006,150000,140.0,no
2600,bmw,2000,150000,193.0,unknown
1200,ford,1998,150000,,no
7500,ford,2007,150000,131.0,no
13800,seat,2012,90000,140.0,no
2850,volkswagen,2002,125000,75.0,no
1450,mercedes_benz,1999,150000,122.0,no
3500,volkswagen,1999,150000,150.0,no
3200,volkswagen,2003,150000,131.0,no
11900,volkswagen,2014,20000,60.0,unknown
11500,audi,2011,60000,86.0,no
900,renault,1998,150000,43.0,no
1000,toyota,1995,150000,75.0,no
9000,bmw,2005,150000,,unknown
3499,mercedes_benz,2008,150000,95.0,no
1099,mercedes_benz,1998,150000,122.0,no
56000,mercedes_benz,2012,60000,435.0,no
5999,peugeot,2008,125000,150.0,no
6000,mercedes_benz,2005,150000,204.0,yes
3500,opel,1985,5000,,no
9000,dacia,2012,30000,84.0,no
2500,ford,2004,125000,116.0,no
650,renault,1997,125000,58.0,unknown
4100,volkswagen,2007,150000,140.0,no
4200,volkswagen,2004,125000,75.0,no
700,mercedes_benz,2016,150000,,unknown
1199,volkswagen,1996,150000,90.0,no
995,nissan,1994,150000,101.0,no
6300,volkswagen,2006,125000,116.0,no
13950,mini,2011,70000,184.0,no
40,bmw,2011,150000,,unknown
2250,opel,2005,150000,80.0,no
4800,jeep,1992,150000,121.0,unknown
2500,dacia,2009,90000,75.0,no
1750,saab,1999,150000,131.0,no
8100,audi,2008,150000,179.0,no
2700,volkswagen,1986,125000,57.0,unknown
1500,opel,2006,150000,,no
3800,volvo,1990,150000,204.0,no
31999,bmw,2016,5000,136.0,unknown
2200,volvo,2001,150000,108.0,unknown
449,peugeot,1998,150000,75.0,no
6300,seat,2007,150000,131.0,unknown
2000,nissan,2007,150000,65.0,yes
4700,bmw,2001,150000,170.0,no
8490,bmw,2008,150000,143.0,no
5000,toyota,2009,60000,,unknown
399,mitsubishi,1995,125000,113.0,yes
1800,bmw,1997,150000,193.0,no
7900,audi,2005,125000,177.0,no
34900,audi,2014,20000,150.0,no
7999,bmw,2006,125000,150.0,no
1900,bmw,2000,150000,,unknown
7500,mazda,2011,150000,163.0,no
6299,audi,2002,150000,163.0,no
36000,jaguar,2012,40000,385.0,no
1000,volkswagen,1997,150000,110.0,no
800,mazda,2000,125000,63.0,yes
13500,audi,2008,125000,200.0,unknown
4500,mazda,2007,90000,143.0,yes
600,toyota,2016,150000,,unknown
320,ford,2004,5000,,yes
3799,nissan,2004,70000,65.0,no
12000,volkswagen,2001,150000,151.0,no
20999,bmw,2011,150000,204.0,no
150,opel,1996,5000,106.0,yes
550,fiat,2001,150000,85.0,unknown
3500,mercedes_benz,2003,150000,109.0,no
3399,seat,2006,125000,75.0,no
1300,ford,2000,150000,145.0,yes
1200,audi,1992,150000,116.0,no
999,volkswagen,1996,150000,75.0,no
18700,volkswagen,2013,60000,140.0,no
2300,audi,2001,150000,179.0,yes
7350,opel,2012,80000,101.0,no
4700,audi,2005,150000,163.0,no
2999,peugeot,2004,150000,109.0,no
18900,volkswagen,2013,30000,122.0,no
1100,ford,2002,5000,127.0,unknown
9990,skoda,2007,90000,170.0,no
6700,mercedes_benz,2003,150000,250.0,no
3100,volkswagen,2006,150000,,no
4000,seat,2005,100000,105.0,no
6990,peugeot,2008,125000,120.0,no
190,volkswagen,1995,30000,60.0,no
1950,volkswagen,2003,90000,50.0,no
1790,nissan,2002,125000,126.0,no
200,ford,1999,150000,75.0,yes
11900,audi,2009,100000,160.0,no
2900,skoda,2004,150000,163.0,no
10000,mercedes_benz,2005,150000,163.0,no
32000,mercedes_benz,2008,70000,183.0,no
8500,opel,2016,90000,81.0,unknown
1499,subaru,1995,150000,54.0,yes
7750,peugeot,2009,125000,174.0,no
18300,ford,2015,20000,125.0,unknown
11490,mercedes_benz,2003,125000,,unknown
5400,sonstige_autos,2008,60000,141.0,no
2600,mercedes_benz,2002,150000,163.0,no
29950,audi,2013,50000,177.0,no
9655,mercedes_benz,2006,150000,224.0,unknown
150,skoda,1995,90000,,unknown
799,opel,1997,150000,75.0,no
600,volkswagen,2000,125000,60.0,unknown
500,volkswagen,1996,125000,60.0,yes
550,kia,1997,100000,80.0,no
2450,renault,2002,125000,140.0,no
3250,volkswagen,2000,150000,116.0,no
4499,sonstige_autos,2005,150000,163.0,no
31000,porsche,1992,150000,239.0,no
3950,volkswagen,1998,150000,102.0,no
23900,volkswagen,2012,30000,,unknown
499,peugeot,1999,150000,60.0,no
12400,mercedes_benz,2010,150000,136.0,no
